ds,yhat_lower,yhat_upper
2019-01-07,11054.308960910448,17308.091612903358
2019-01-14,11885.332395592763,17622.33240001884
2019-01-21,11230.639500370793,17363.209648941196
2019-01-28,11307.720082329648,17556.923276583282
2019-02-04,10937.20122978529,17051.68216734149
2019-02-11,11441.656713179063,17285.414791033723
2019-02-18,11224.2147257749,17175.05243535245
2019-02-25,11193.380806298408,17246.609221334755
2019-03-04,11181.106436053444,17067.985589556105
2019-03-11,12096.630486313627,17852.240989021553
2019-03-18,11382.324014244443,17353.605426971117
2019-03-25,10417.417387602361,16644.666567022097
2019-04-01,9954.07053160054,15939.08228873138
2019-04-08,10380.474044229837,16066.271276935584
2019-04-15,10439.511862059539,16423.060052409903
2019-04-22,11545.406121032727,17682.32601491501
2019-04-29,12030.140054522732,18282.754348096896
2019-05-06,11689.96812499285,17593.84254243488
2019-05-13,11025.740536064777,17036.29212464723
2019-05-20,9720.812605343901,15973.737025762111
2019-05-27,10446.836899041811,16422.527030768015
2019-06-03,11427.021111175958,17130.234820307633
2019-06-10,11451.779058849192,17401.16362404826
2019-06-17,11375.139995147603,17303.789868813587
2019-06-24,11661.01281078647,17577.270902042
2019-07-01,11503.726119029907,17396.23324160231
2019-07-08,11317.632509057086,17534.048532856494
2019-07-15,11293.278864113216,17202.436873456732
2019-07-22,10890.253724792281,16554.79225470486
2019-07-29,10771.309116872311,16709.228898601188
2019-08-05,11481.580884234088,17502.42667322921
2019-08-12,12436.90576352291,18309.967654328604
2019-08-19,11863.834106614697,17643.175723825796
2019-08-26,10665.972877513594,16678.548919934918
2019-09-02,9272.855235989347,15371.83545516365
2019-09-09,10130.372794946165,16123.75597696341
2019-09-16,10944.187460672845,16753.28898184706
2019-09-23,11473.257780272133,17364.740460034423
2019-09-30,11610.250398506065,17730.73564402875
2019-10-07,11708.285708237343,17811.209602304305
2019-10-14,11855.341422729958,17619.370746822347
2019-10-21,11772.652299835649,17678.31922422361
2019-10-28,11713.376081652377,17935.13837415815
2019-11-04,11107.005762913754,17172.401862367005
2019-11-11,11505.9229620794,17254.927287865747
2019-11-18,11579.04815884766,17480.735022911605
2019-11-25,12198.494572783678,18264.299395715487
2019-12-02,11565.338400552255,17593.69659983664
2019-12-09,10448.501965241458,16425.323660932845
2019-12-16,9390.68574232781,15367.187768863152
2019-12-23,10167.584549153136,15933.048481888978
2019-12-30,10744.701626939417,16539.823881437183
