,Giardiasis,chickenpox
2020-01-06,91.7269353866577,2.57985857129097
2020-01-13,88.71460771560669,2.689715564250946
2020-01-20,88.52812230587006,2.957625091075897
2020-01-27,90.45485174655913,3.2669137120246887
2020-02-03,93.61446225643157,3.5047826766967773
2020-02-10,96.8578357696533,3.725970447063446
2020-02-17,100.37898522615431,3.9169161915779114
2020-02-24,103.45483273267745,3.9899824261665344
2020-03-02,106.0649229288101,4.007272660732269
2020-03-09,108.6602073907852,3.990646481513977
2020-03-16,110.8662193417549,4.0450223088264465
2020-03-23,111.18093270063399,4.045542240142822
2020-03-30,111.44761097431181,4.0439669489860535
2020-04-06,111.65816432237624,4.040875256061554
2020-04-13,111.81950491666792,4.037179172039032
2020-04-20,111.93982338905333,4.033590793609619
2020-04-27,112.03011661767958,4.030470430850983
2020-05-04,112.0976309776306,4.02809277176857
2020-05-11,112.14558649063109,4.02636444568634
2020-05-18,112.17800951004027,4.025200605392456
2020-05-25,112.1978176832199,4.024637669324875
2020-06-01,112.21142983436583,4.024646580219269
2020-06-08,112.22174239158629,4.024638444185257
2020-06-15,112.2293813228607,4.024621784687042
2020-06-22,112.23491954803465,4.024601250886917
2020-06-29,112.2388663291931,4.024579167366028
2020-07-06,112.24163013696669,4.024559020996094
2020-07-13,112.24353456497191,4.02454274892807
2020-07-20,112.24482363462447,4.024529963731766
2020-07-27,112.24568301439284,4.024520665407181
2020-08-03,112.24625062942503,4.024513691663742
2020-08-10,112.24663788080214,4.0245078802108765
2020-08-17,112.24691903591155,4.024504393339157
2020-08-24,112.2471100091934,4.024500906467438
2020-08-31,112.24724793434142,4.0244985818862915
2020-09-07,112.24734342098235,4.024497807025909
2020-09-14,112.24740707874297,4.024496644735336
2020-09-21,112.24745482206343,4.024495482444763
2020-09-28,112.24748665094374,4.024495482444763
2020-10-05,112.24750787019728,4.024494707584381
2020-10-12,112.24752378463744,4.024494707584381
2020-10-19,112.2475343942642,4.024494707584381
2020-10-26,112.24753969907759,4.024494707584381
2020-11-02,112.24754500389098,4.024494707584381
2020-11-09,112.24755030870436,4.024494707584381
2020-11-16,112.24755561351775,4.02449432015419
2020-11-23,112.24755561351775,4.02449432015419
2020-11-30,112.24755561351775,4.02449432015419
2020-12-07,112.24755561351775,4.02449432015419
2020-12-14,112.24755561351775,4.024494707584381
2020-12-21,112.24755561351775,4.024494707584381
2020-12-28,112.24755561351775,4.024493932723999
2021-01-04,112.24755561351775,4.02449432015419
2021-01-11,112.24755561351775,4.024494707584381
2021-01-18,112.24755561351775,4.024494707584381
2021-01-25,112.24755561351775,4.024494707584381
2021-02-01,112.24755561351775,4.024494707584381
2021-02-08,112.24755561351775,4.024494707584381
2021-02-15,112.24755561351775,4.024494707584381
2021-02-22,112.24755561351775,4.024494707584381
2021-03-01,112.24755561351775,4.02449432015419
2021-03-08,112.24755561351775,4.024494707584381
2021-03-15,112.24755561351775,4.02449432015419
2021-03-22,112.24755561351775,4.02449432015419
2021-03-29,112.24755561351775,4.024494707584381
2021-04-05,112.24755561351775,4.02449432015419
2021-04-12,112.24755561351775,4.024494707584381
2021-04-19,112.24755561351775,4.024494707584381
2021-04-26,112.24755561351775,4.024494707584381
2021-05-03,112.24755561351775,4.024494707584381
2021-05-10,112.24755561351775,4.024494707584381
2021-05-17,112.24755561351775,4.024494707584381
2021-05-24,112.24755561351775,4.024494707584381
2021-05-31,112.24755561351775,4.02449432015419
2021-06-07,112.24755561351775,4.024494707584381
2021-06-14,112.24755561351775,4.02449432015419
2021-06-21,112.24755561351775,4.02449432015419
2021-06-28,112.24755561351775,4.024494707584381
2021-07-05,112.24755561351775,4.02449432015419
2021-07-12,112.24755561351775,4.024494707584381
2021-07-19,112.24755561351775,4.024494707584381
2021-07-26,112.24755561351775,4.024494707584381
2021-08-02,112.24755561351775,4.024494707584381
2021-08-09,112.24755561351775,4.024494707584381
2021-08-16,112.24755561351775,4.024494707584381
2021-08-23,112.24755561351775,4.024494707584381
2021-08-30,112.24755561351775,4.02449432015419
2021-09-06,112.24755561351775,4.024494707584381
2021-09-13,112.24755561351775,4.02449432015419
2021-09-20,112.24755561351775,4.02449432015419
2021-09-27,112.24755561351775,4.024494707584381
2021-10-04,112.24755561351775,4.02449432015419
2021-10-11,112.24755561351775,4.024494707584381
2021-10-18,112.24755561351775,4.024494707584381
2021-10-25,112.24755561351775,4.024494707584381
2021-11-01,112.24755561351775,4.024494707584381
2021-11-08,112.24755561351775,4.024494707584381
2021-11-15,112.24755561351775,4.024494707584381
2021-11-22,112.24755561351775,4.024494707584381
2021-11-29,112.24755561351775,4.02449432015419
2021-12-06,112.24755561351775,4.024494707584381
2021-12-13,112.24755561351775,4.02449432015419
2021-12-20,112.24755561351775,4.02449432015419
2021-12-27,112.24755561351775,4.024494707584381
